Opponent,Matches,Score,Win%
Lugia Archeops,82,45 - 35 - 2,54.88%
Mew Genesect,69,26 - 40 - 3,37.68%
Lost Zone Box,51,26 - 23 - 2,50.98%
Regis,36,8 - 28 - 0,22.22%
Arceus Duraludon,33,11 - 21 - 1,33.33%
Goodra LZ Box,22,6 - 15 - 1,27.27%
Rayquaza LZ Box,20,12 - 7 - 1,60.00%
Giratina LZ Box,18,11 - 7 - 0,61.11%
Arceus Flying Pikachu,15,10 - 4 - 1,66.67%
Palkia Inteleon,14,9 - 4 - 1,64.29%
Eternatus,13,7 - 5 - 1,53.85%
Vikavolt Regieleki,12,5 - 7 - 0,41.67%
Vikavolt,12,5 - 7 - 0,41.67%
Galarian Weezing,8,5 - 2 - 1,62.50%
Shadow Rider Calyrex,7,4 - 3 - 0,57.14%
Hisuian Zoroark,6,4 - 2 - 0,66.67%
Palkia Vikavolt,6,3 - 3 - 0,50.00%
Other,5,2 - 3 - 0,40.00%
Yveltal Control,5,2 - 3 - 0,40.00%
Zoroark Box,5,1 - 4 - 0,20.00%
Regidrago,4,1 - 3 - 0,25.00%
Blissey,4,0 - 4 - 0,0.00%
Arceus Goodra,3,2 - 1 - 0,66.67%
Zacian,3,1 - 2 - 0,33.33%
Arceus Tapu Koko,3,1 - 2 - 0,33.33%
Mewtwo Control,3,0 - 2 - 1,0.00%
Kyurem Palkia,2,2 - 0 - 0,100.00%
Kyurem,2,2 - 0 - 0,100.00%
Miltank Yveltal,2,1 - 1 - 0,50.00%
Palkia,2,1 - 1 - 0,50.00%
Frosmoth Inteleon Box,2,1 - 1 - 0,50.00%
Arceus Inteleon,2,0 - 2 - 0,0.00%
Gengar,2,0 - 2 - 0,0.00%
Articuno Inteleon,1,1 - 0 - 0,100.00%
Calyrex Palkia,1,1 - 0 - 0,100.00%
Darkrai,1,1 - 0 - 0,100.00%
Mewtwo Gengar,1,1 - 0 - 0,100.00%
Togekiss,1,1 - 0 - 0,100.00%
Rapid Strike Urshifu,1,1 - 0 - 0,100.00%
Arceus,1,1 - 0 - 0,100.00%
Dragapult,1,1 - 0 - 0,100.00%
Duraludon,1,1 - 0 - 0,100.00%
Inteleon Inteleon,1,1 - 0 - 0,100.00%
Rotom,1,1 - 0 - 0,100.00%
Clefairy,1,1 - 0 - 0,100.00%
Morpeko Diancie,1,1 - 0 - 0,100.00%
Hisuian Samurott,1,1 - 0 - 0,100.00%
Inteleon Box,1,0 - 1 - 0,0.00%
Decidueye Inteleon,1,0 - 1 - 0,0.00%
Weezing Aerodactyl,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 0 - 1,0.00%
Amazing Raikou,1,0 - 1 - 0,0.00%
Durant,1,0 - 1 - 0,0.00%
Arceus Giratina,1,0 - 1 - 0,0.00%
Dialga,1,0 - 1 - 0,0.00%
Weezing Inteleon,1,0 - 1 - 0,0.00%
Hisuian Goodra,1,0 - 1 - 0,0.00%
