Opponent,Matches,Score,Win%
Lugia Archeops,53,20 - 30 - 3,37.74%
Mew Genesect,35,20 - 15 - 0,57.14%
Lost Zone Box,24,10 - 14 - 0,41.67%
Rayquaza LZ Box,18,12 - 6 - 0,66.67%
Goodra LZ Box,18,10 - 7 - 1,55.56%
Regis,14,6 - 8 - 0,42.86%
Arceus Duraludon,14,2 - 10 - 2,14.29%
Eternatus,10,6 - 4 - 0,60.00%
Giratina LZ Box,9,5 - 3 - 1,55.56%
Other,7,4 - 2 - 1,57.14%
Yveltal Control,6,2 - 3 - 1,33.33%
Arceus Flying Pikachu,5,2 - 3 - 0,40.00%
Vikavolt,5,1 - 4 - 0,20.00%
Regidrago,4,2 - 2 - 0,50.00%
Arceus Goodra,4,2 - 2 - 0,50.00%
Arceus Inteleon,3,2 - 1 - 0,66.67%
Hisuian Zoroark,2,2 - 0 - 0,100.00%
Kyurem,2,2 - 0 - 0,100.00%
Vikavolt Regieleki,2,2 - 0 - 0,100.00%
Urshifu Inteleon,2,1 - 0 - 1,50.00%
Palkia Vikavolt,2,1 - 1 - 0,50.00%
Darkrai,2,1 - 1 - 0,50.00%
Kyurem Palkia,2,1 - 0 - 1,50.00%
Palkia,2,1 - 1 - 0,50.00%
Palkia Inteleon,2,0 - 2 - 0,0.00%
Inteleon Box,1,1 - 0 - 0,100.00%
Dragapult,1,1 - 0 - 0,100.00%
Amazing Kyogre,1,1 - 0 - 0,100.00%
Lunatone Solrock,1,1 - 0 - 0,100.00%
Zacian,1,1 - 0 - 0,100.00%
Dialga,1,1 - 0 - 0,100.00%
Machamp,1,0 - 1 - 0,0.00%
Arceus Regidrago,1,0 - 1 - 0,0.00%
Giratina,1,0 - 1 - 0,0.00%
Arceus,1,0 - 1 - 0,0.00%
Shadow Rider Calyrex,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
