Opponent,Matches,Score,Win%
Lugia Archeops,1009,436 - 534 - 39,43.21%
Mew Genesect,682,353 - 305 - 24,51.76%
Lost Zone Box,520,227 - 268 - 25,43.65%
Arceus Duraludon,338,158 - 170 - 10,46.75%
Regis,316,134 - 160 - 22,42.41%
Rayquaza LZ Box,264,128 - 128 - 8,48.48%
Goodra LZ Box,243,121 - 113 - 9,49.79%
Giratina LZ Box,183,110 - 68 - 5,60.11%
Eternatus,121,47 - 67 - 7,38.84%
Palkia Inteleon,104,54 - 44 - 6,51.92%
Other,102,63 - 35 - 4,61.76%
Vikavolt,94,38 - 56 - 0,40.43%
Arceus Flying Pikachu,80,28 - 51 - 1,35.00%
Vikavolt Regieleki,75,17 - 55 - 3,22.67%
Arceus,62,34 - 27 - 1,54.84%
Kyurem Palkia,55,38 - 16 - 1,69.09%
Mewtwo Control,53,31 - 20 - 2,58.49%
Yveltal Control,51,23 - 28 - 0,45.10%
Arceus Tapu Koko,44,16 - 27 - 1,36.36%
Zoroark Box,39,28 - 10 - 1,71.79%
Hisuian Zoroark,35,22 - 12 - 1,62.86%
Arceus Goodra,31,16 - 14 - 1,51.61%
Shadow Rider Calyrex,30,18 - 11 - 1,60.00%
Arceus Inteleon,29,10 - 17 - 2,34.48%
Lunatone Solrock,27,17 - 9 - 1,62.96%
Blissey,27,17 - 8 - 2,62.96%
Arceus Regidrago,26,13 - 12 - 1,50.00%
Durant,25,14 - 11 - 0,56.00%
Regidrago,24,14 - 10 - 0,58.33%
Duraludon,23,14 - 9 - 0,60.87%
Galarian Weezing,22,11 - 11 - 0,50.00%
Palkia Vikavolt,20,7 - 12 - 1,35.00%
Crobat Weezing,20,6 - 14 - 0,30.00%
Rotom,19,11 - 8 - 0,57.89%
Palkia,18,6 - 12 - 0,33.33%
Darkrai,15,13 - 2 - 0,86.67%
Frosmoth Inteleon Box,15,7 - 6 - 2,46.67%
Zacian,12,8 - 4 - 0,66.67%
Urshifu Inteleon,11,8 - 3 - 0,72.73%
Flaaffy,9,9 - 0 - 0,100.00%
Dialga LZ,9,6 - 3 - 0,66.67%
Dialga,9,5 - 4 - 0,55.56%
Calyrex Inteleon,8,7 - 1 - 0,87.50%
Inteleon Box,8,7 - 1 - 0,87.50%
Mewtwo Gengar,8,5 - 2 - 1,62.50%
Arceus Giratina,8,3 - 5 - 0,37.50%
Rapid Strike Urshifu,7,1 - 6 - 0,14.29%
Miltank,5,5 - 0 - 0,100.00%
Snorlax Stall,5,3 - 2 - 0,60.00%
Snorlax Cherrim,5,3 - 2 - 0,60.00%
Alolan Vulpix,5,3 - 1 - 1,60.00%
Weezing Aerodactyl,5,2 - 3 - 0,40.00%
Kyurem,4,4 - 0 - 0,100.00%
Miltank Yveltal,4,3 - 1 - 0,75.00%
Inteleon Inteleon,4,3 - 1 - 0,75.00%
Gengar,4,3 - 1 - 0,75.00%
Arceus Aggron,4,2 - 2 - 0,50.00%
Hisuian Samurott,3,3 - 0 - 0,100.00%
Clefairy,3,3 - 0 - 0,100.00%
Malamar (VMAX),3,2 - 1 - 0,66.67%
Mad Party,3,2 - 1 - 0,66.67%
Arceus Mewtwo,3,2 - 1 - 0,66.67%
Umbreon Urshifu,3,2 - 1 - 0,66.67%
Dragapult Inteleon,3,1 - 2 - 0,33.33%
Omastar Archeops,3,0 - 3 - 0,0.00%
Decidueye Inteleon,2,2 - 0 - 0,100.00%
Rapid Strike Malamar,2,2 - 0 - 0,100.00%
Articuno Inteleon,2,2 - 0 - 0,100.00%
Ice Rider Calyrex,2,2 - 0 - 0,100.00%
Sylveon,2,2 - 0 - 0,100.00%
Togekiss,2,2 - 0 - 0,100.00%
Giratina,2,2 - 0 - 0,100.00%
Suicune Ludicolo,2,2 - 0 - 0,100.00%
Entei,2,1 - 1 - 0,50.00%
Cramorant,2,1 - 1 - 0,50.00%
Dracozolt,2,1 - 1 - 0,50.00%
Samurott Inteleon,2,1 - 1 - 0,50.00%
Orbeetle,2,1 - 1 - 0,50.00%
Morpeko Diancie,2,1 - 1 - 0,50.00%
Pachirisu Honchkrow,2,0 - 2 - 0,0.00%
Arcanine Zoroark,2,0 - 2 - 0,0.00%
Jolteon Inteleon,2,0 - 1 - 1,0.00%
Serperior,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,1 - 0 - 0,100.00%
Mimikyu,1,1 - 0 - 0,100.00%
Mewtwo Lunarock,1,1 - 0 - 0,100.00%
Dragapult,1,1 - 0 - 0,100.00%
Blaziken Zeraora,1,1 - 0 - 0,100.00%
Morpeko,1,1 - 0 - 0,100.00%
Grimmsnarl,1,1 - 0 - 0,100.00%
Galarian Obstagoon,1,1 - 0 - 0,100.00%
Zeraora,1,1 - 0 - 0,100.00%
Coalossal (Tar Generator),1,1 - 0 - 0,100.00%
Leafeon,1,1 - 0 - 0,100.00%
Weezing Inteleon,1,1 - 0 - 0,100.00%
Darkrai Weezing,1,1 - 0 - 0,100.00%
Tyranitar,1,0 - 1 - 0,0.00%
Amazing Raikou,1,0 - 0 - 1,0.00%
Obstagoon Inteleon,1,0 - 1 - 0,0.00%
Corviknight,1,0 - 1 - 0,0.00%
