Opponent,Matches,Score,Win%
Lugia Archeops,152,46 - 105 - 1,30.26%
Mew Genesect,91,22 - 69 - 0,24.18%
Lost Zone Box,75,32 - 43 - 0,42.67%
Regis,47,20 - 27 - 0,42.55%
Arceus Duraludon,40,15 - 25 - 0,37.50%
Goodra LZ Box,29,8 - 21 - 0,27.59%
Giratina LZ Box,28,9 - 19 - 0,32.14%
Rayquaza LZ Box,24,10 - 14 - 0,41.67%
Other,20,13 - 7 - 0,65.00%
Palkia Inteleon,18,9 - 9 - 0,50.00%
Zoroark Box,18,7 - 10 - 1,38.89%
Eternatus,16,7 - 9 - 0,43.75%
Arceus Goodra,13,9 - 4 - 0,69.23%
Hisuian Zoroark,13,7 - 6 - 0,53.85%
Kyurem Palkia,12,7 - 5 - 0,58.33%
Regidrago,12,6 - 6 - 0,50.00%
Vikavolt Regieleki,11,7 - 4 - 0,63.64%
Arceus Flying Pikachu,11,6 - 5 - 0,54.55%
Galarian Weezing,8,7 - 1 - 0,87.50%
Durant,8,4 - 4 - 0,50.00%
Shadow Rider Calyrex,8,3 - 5 - 0,37.50%
Arceus,7,5 - 2 - 0,71.43%
Blissey,7,4 - 3 - 0,57.14%
Yveltal Control,7,4 - 3 - 0,57.14%
Vikavolt,6,2 - 4 - 0,33.33%
Mewtwo Control,6,2 - 4 - 0,33.33%
Arceus Inteleon,6,1 - 5 - 0,16.67%
Arceus Tapu Koko,5,0 - 5 - 0,0.00%
Palkia Vikavolt,4,3 - 1 - 0,75.00%
Kyurem,4,3 - 1 - 0,75.00%
Palkia,4,2 - 2 - 0,50.00%
Calyrex Inteleon,3,2 - 1 - 0,66.67%
Zacian,3,2 - 1 - 0,66.67%
Mewtwo Gengar,3,2 - 1 - 0,66.67%
Arceus Regidrago,3,1 - 2 - 0,33.33%
Dialga,3,0 - 2 - 1,0.00%
Leafeon Inteleon,2,2 - 0 - 0,100.00%
Duraludon,2,2 - 0 - 0,100.00%
Inteleon Box,2,1 - 1 - 0,50.00%
Darkrai,2,1 - 1 - 0,50.00%
Frosmoth Inteleon Box,2,1 - 1 - 0,50.00%
Weezing Aerodactyl,2,1 - 1 - 0,50.00%
Malamar (VMAX),2,1 - 1 - 0,50.00%
Hisuian Arcanine,2,0 - 2 - 0,0.00%
Rotom,2,0 - 2 - 0,0.00%
Omastar Archeops,1,1 - 0 - 0,100.00%
Dark Inteleon,1,1 - 0 - 0,100.00%
Samurott Weezing,1,1 - 0 - 0,100.00%
Machamp,1,1 - 0 - 0,100.00%
Miltank,1,1 - 0 - 0,100.00%
Togekiss,1,1 - 0 - 0,100.00%
Rapid Strike Urshifu,1,1 - 0 - 0,100.00%
Crobat Weezing,1,1 - 0 - 0,100.00%
Coalossal,1,1 - 0 - 0,100.00%
Flaaffy,1,1 - 0 - 0,100.00%
Inteleon Inteleon,1,1 - 0 - 0,100.00%
Grimmsnarl,1,1 - 0 - 0,100.00%
Amazing Kyogre,1,1 - 0 - 0,100.00%
Mimikyu,1,1 - 0 - 0,100.00%
Lunatone Solrock,1,1 - 0 - 0,100.00%
Calyrex Palkia,1,1 - 0 - 0,100.00%
Arcanine Zoroark,1,0 - 1 - 0,0.00%
Dialga LZ,1,0 - 1 - 0,0.00%
Dracozolt,1,0 - 0 - 1,0.00%
Zeraora,1,0 - 1 - 0,0.00%
Frosmoth Box,1,0 - 1 - 0,0.00%
Leafeon,1,0 - 1 - 0,0.00%
