Opponent,Matches,Score,Win%
Lugia Archeops,1610,841 - 725 - 44,52.24%
Mew Genesect,1055,555 - 475 - 25,52.61%
Lost Zone Box,771,421 - 313 - 37,54.60%
Regis,582,279 - 279 - 24,47.94%
Arceus Duraludon,503,219 - 274 - 10,43.54%
Rayquaza LZ Box,316,160 - 134 - 22,50.63%
Goodra LZ Box,305,86 - 205 - 14,28.20%
Giratina LZ Box,299,142 - 144 - 13,47.49%
Palkia Inteleon,186,70 - 106 - 10,37.63%
Eternatus,177,71 - 96 - 10,40.11%
Other,167,94 - 62 - 11,56.29%
Arceus Flying Pikachu,138,32 - 97 - 9,23.19%
Vikavolt Regieleki,135,83 - 51 - 1,61.48%
Vikavolt,114,76 - 36 - 2,66.67%
Zoroark Box,107,56 - 45 - 6,52.34%
Kyurem Palkia,103,66 - 35 - 2,64.08%
Yveltal Control,84,29 - 44 - 11,34.52%
Mewtwo Control,81,44 - 27 - 10,54.32%
Hisuian Zoroark,75,46 - 28 - 1,61.33%
Arceus,74,30 - 44 - 0,40.54%
Arceus Goodra,73,28 - 43 - 2,38.36%
Blissey,59,38 - 19 - 2,64.41%
Arceus Tapu Koko,59,18 - 38 - 3,30.51%
Arceus Regidrago,53,24 - 26 - 3,45.28%
Shadow Rider Calyrex,52,28 - 22 - 2,53.85%
Regidrago,47,27 - 20 - 0,57.45%
Arceus Inteleon,41,17 - 24 - 0,41.46%
Lunatone Solrock,38,17 - 21 - 0,44.74%
Durant,37,24 - 12 - 1,64.86%
Palkia Vikavolt,36,28 - 8 - 0,77.78%
Crobat Weezing,32,13 - 19 - 0,40.63%
Galarian Weezing,30,6 - 23 - 1,20.00%
Dialga,23,13 - 9 - 1,56.52%
Duraludon,22,8 - 13 - 1,36.36%
Darkrai,21,16 - 5 - 0,76.19%
Rotom,19,15 - 3 - 1,78.95%
Zacian,18,6 - 10 - 2,33.33%
Frosmoth Inteleon Box,18,2 - 15 - 1,11.11%
Flaaffy,17,13 - 4 - 0,76.47%
Arceus Giratina,15,9 - 6 - 0,60.00%
Inteleon Box,15,7 - 7 - 1,46.67%
Dialga LZ,15,4 - 9 - 2,26.67%
Weezing Aerodactyl,15,3 - 11 - 1,20.00%
Rapid Strike Urshifu,14,9 - 5 - 0,64.29%
Palkia,14,8 - 6 - 0,57.14%
Urshifu Inteleon,13,9 - 4 - 0,69.23%
Arceus Mewtwo,12,7 - 4 - 1,58.33%
Articuno Inteleon,12,4 - 5 - 3,33.33%
Calyrex Inteleon,11,7 - 4 - 0,63.64%
Mewtwo Gengar,9,4 - 5 - 0,44.44%
Clefairy,9,3 - 6 - 0,33.33%
Snorlax Stall,8,5 - 2 - 1,62.50%
Rapid Strike Malamar,8,3 - 5 - 0,37.50%
Inteleon Inteleon,7,7 - 0 - 0,100.00%
Miltank Yveltal,7,3 - 3 - 1,42.86%
Arcanine Zoroark,7,2 - 5 - 0,28.57%
Ice Rider Calyrex,6,4 - 2 - 0,66.67%
Hisuian Samurott,6,2 - 3 - 1,33.33%
Hisuian Arcanine,6,0 - 6 - 0,0.00%
Dracozolt,5,5 - 0 - 0,100.00%
Snorlax Cherrim,5,4 - 1 - 0,80.00%
Weezing Inteleon,5,0 - 5 - 0,0.00%
Serperior,5,0 - 5 - 0,0.00%
Alolan Vulpix,4,4 - 0 - 0,100.00%
Miltank,4,4 - 0 - 0,100.00%
Victini,4,4 - 0 - 0,100.00%
Zeraora,4,3 - 1 - 0,75.00%
Umbreon Urshifu,4,3 - 1 - 0,75.00%
Calyrex Palkia,4,2 - 2 - 0,50.00%
Amazing Raikou,4,2 - 2 - 0,50.00%
Boltund Flaaffy,4,1 - 3 - 0,25.00%
Kyurem,3,3 - 0 - 0,100.00%
Omastar Archeops,3,3 - 0 - 0,100.00%
Machamp,3,2 - 1 - 0,66.67%
Cramorant,3,2 - 1 - 0,66.67%
Dragapult Inteleon,3,1 - 2 - 0,33.33%
Sylveon,3,1 - 2 - 0,33.33%
Dragapult,3,1 - 2 - 0,33.33%
Hisuian Goodra,3,1 - 2 - 0,33.33%
Samurott Weezing,3,0 - 3 - 0,0.00%
Leafeon Inteleon,3,0 - 3 - 0,0.00%
Torterra,3,0 - 3 - 0,0.00%
Pachirisu Honchkrow,2,2 - 0 - 0,100.00%
Charizard,2,2 - 0 - 0,100.00%
Entei,2,2 - 0 - 0,100.00%
Gengar,2,2 - 0 - 0,100.00%
Orbeetle,2,2 - 0 - 0,100.00%
Jolteon,2,2 - 0 - 0,100.00%
Galarian Obstagoon,2,2 - 0 - 0,100.00%
Giratina,2,2 - 0 - 0,100.00%
Jolteon Inteleon,2,2 - 0 - 0,100.00%
Charizard,2,2 - 0 - 0,100.00%
Darkrai Weezing,2,1 - 1 - 0,50.00%
Flaaffy Zekrom,2,1 - 1 - 0,50.00%
Coalossal,2,1 - 1 - 0,50.00%
Inteleon Urshifu,2,1 - 1 - 0,50.00%
Arceus Malamar,2,1 - 1 - 0,50.00%
Inteleon,2,0 - 2 - 0,0.00%
Arceus Gyarados,1,1 - 0 - 0,100.00%
Wailord,1,1 - 0 - 0,100.00%
Obstagoon Inteleon,1,1 - 0 - 0,100.00%
Amazing Reshiram,1,1 - 0 - 0,100.00%
Clefairy Wyrdeer,1,1 - 0 - 0,100.00%
Rayquaza Flaaffy,1,1 - 0 - 0,100.00%
Frosmoth Box,1,1 - 0 - 0,100.00%
Dragonite,1,1 - 0 - 0,100.00%
Shadow Rider Whimsicott,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,1 - 0 - 0,100.00%
Crabominable,1,1 - 0 - 0,100.00%
Umbreon,1,1 - 0 - 0,100.00%
Decidueye Inteleon,1,1 - 0 - 0,100.00%
Blaziken,1,1 - 0 - 0,100.00%
Gardevoir,1,1 - 0 - 0,100.00%
Single Strike Urshifu,1,1 - 0 - 0,100.00%
Decidueye,1,1 - 0 - 0,100.00%
Sableye Inteleon,1,0 - 1 - 0,0.00%
Wormadam Box,1,0 - 1 - 0,0.00%
Arceus Aggron,1,0 - 1 - 0,0.00%
Mad Party,1,0 - 0 - 1,0.00%
Leafeon,1,0 - 1 - 0,0.00%
Arceus Ice Rider,1,0 - 1 - 0,0.00%
Snorlax,1,0 - 1 - 0,0.00%
Amazing Kyogre,1,0 - 1 - 0,0.00%
Entei Ludicolo,1,0 - 1 - 0,0.00%
Coalossal (Tar Generator),1,0 - 1 - 0,0.00%
