Opponent,Matches,Score,Win%
Lugia Archeops,70,30 - 39 - 1,42.86%
Mew Genesect,44,19 - 25 - 0,43.18%
Lost Zone Box,33,11 - 21 - 1,33.33%
Goodra LZ Box,25,11 - 12 - 2,44.00%
Arceus Duraludon,19,10 - 9 - 0,52.63%
Rayquaza LZ Box,19,8 - 11 - 0,42.11%
Regis,19,3 - 15 - 1,15.79%
Giratina LZ Box,17,10 - 7 - 0,58.82%
Arceus Flying Pikachu,14,10 - 3 - 1,71.43%
Other,12,9 - 3 - 0,75.00%
Vikavolt,10,5 - 5 - 0,50.00%
Eternatus,10,2 - 8 - 0,20.00%
Arceus Tapu Koko,7,5 - 2 - 0,71.43%
Lunatone Solrock,7,1 - 6 - 0,14.29%
Zoroark Box,6,1 - 5 - 0,16.67%
Palkia Inteleon,5,1 - 4 - 0,20.00%
Hisuian Zoroark,4,4 - 0 - 0,100.00%
Arceus Goodra,4,2 - 1 - 1,50.00%
Vikavolt Regieleki,4,2 - 2 - 0,50.00%
Yveltal Control,4,2 - 2 - 0,50.00%
Zacian,4,1 - 3 - 0,25.00%
Kyurem Palkia,3,3 - 0 - 0,100.00%
Galarian Weezing,3,2 - 1 - 0,66.67%
Arceus,3,0 - 3 - 0,0.00%
Arceus Regidrago,2,2 - 0 - 0,100.00%
Regidrago,2,2 - 0 - 0,100.00%
Duraludon,2,2 - 0 - 0,100.00%
Weezing Inteleon,2,1 - 1 - 0,50.00%
Blissey,2,1 - 1 - 0,50.00%
Snorlax Stall,1,1 - 0 - 0,100.00%
Rapid Strike Urshifu,1,1 - 0 - 0,100.00%
Mewtwo Control,1,1 - 0 - 0,100.00%
Galarian Obstagoon,1,1 - 0 - 0,100.00%
Dialga LZ,1,1 - 0 - 0,100.00%
Suicune Ludicolo,1,1 - 0 - 0,100.00%
Hisuian Samurott,1,1 - 0 - 0,100.00%
Crobat Weezing,1,0 - 1 - 0,0.00%
Arceus Inteleon,1,0 - 1 - 0,0.00%
Frosmoth Inteleon Box,1,0 - 1 - 0,0.00%
Urshifu Inteleon,1,0 - 1 - 0,0.00%
Dialga,1,0 - 1 - 0,0.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
Arcanine Zoroark,1,0 - 1 - 0,0.00%
Coalossal (Tar Generator),1,0 - 1 - 0,0.00%
Calyrex Palkia,1,0 - 1 - 0,0.00%
Durant,1,0 - 1 - 0,0.00%
Lucario,1,0 - 1 - 0,0.00%
Flaaffy,1,0 - 1 - 0,0.00%
