Opponent,Matches,Score,Win%
Lugia Archeops,8,3 - 4 - 1,37.50%
Mew Genesect,8,1 - 7 - 0,12.50%
Lost Zone Box,5,2 - 3 - 0,40.00%
Shadow Rider Calyrex,3,3 - 0 - 0,100.00%
Regis,3,3 - 0 - 0,100.00%
Vikavolt Regieleki,3,1 - 2 - 0,33.33%
Zoroark Box,2,2 - 0 - 0,100.00%
Eternatus,2,1 - 1 - 0,50.00%
Palkia Inteleon,2,0 - 2 - 0,0.00%
Calyrex Inteleon,1,1 - 0 - 0,100.00%
Zacian,1,1 - 0 - 0,100.00%
Weezing Aerodactyl,1,1 - 0 - 0,100.00%
Flaaffy,1,1 - 0 - 0,100.00%
Serperior,1,1 - 0 - 0,100.00%
Hisuian Samurott,1,1 - 0 - 0,100.00%
Rapid Strike Urshifu,1,0 - 1 - 0,0.00%
Regidrago,1,0 - 1 - 0,0.00%
Kyurem Palkia,1,0 - 1 - 0,0.00%
Arceus Regidrago,1,0 - 1 - 0,0.00%
Blissey,1,0 - 1 - 0,0.00%
Goodra LZ Box,1,0 - 1 - 0,0.00%
Giratina LZ Box,1,0 - 1 - 0,0.00%
Arceus Duraludon,1,0 - 1 - 0,0.00%
Other,1,0 - 1 - 0,0.00%
