Opponent,Matches,Score,Win%
Lugia Archeops,158,54 - 102 - 2,34.18%
Mew Genesect,92,45 - 43 - 4,48.91%
Lost Zone Box,85,43 - 37 - 5,50.59%
Regis,52,22 - 28 - 2,42.31%
Goodra LZ Box,49,23 - 25 - 1,46.94%
Arceus Duraludon,48,29 - 17 - 2,60.42%
Giratina LZ Box,30,12 - 16 - 2,40.00%
Rayquaza LZ Box,30,11 - 18 - 1,36.67%
Other,24,13 - 10 - 1,54.17%
Vikavolt,22,11 - 11 - 0,50.00%
Arceus Flying Pikachu,21,7 - 14 - 0,33.33%
Eternatus,16,7 - 9 - 0,43.75%
Palkia Inteleon,15,4 - 10 - 1,26.67%
Zoroark Box,14,6 - 8 - 0,42.86%
Yveltal Control,13,6 - 5 - 2,46.15%
Hisuian Zoroark,12,3 - 9 - 0,25.00%
Regidrago,8,5 - 3 - 0,62.50%
Arceus,8,3 - 5 - 0,37.50%
Blissey,8,2 - 6 - 0,25.00%
Arceus Tapu Koko,8,2 - 6 - 0,25.00%
Arceus Goodra,7,4 - 3 - 0,57.14%
Kyurem Palkia,7,3 - 4 - 0,42.86%
Vikavolt Regieleki,7,3 - 3 - 1,42.86%
Palkia Vikavolt,7,3 - 4 - 0,42.86%
Weezing Aerodactyl,6,5 - 1 - 0,83.33%
Mewtwo Control,6,5 - 1 - 0,83.33%
Arceus Inteleon,6,2 - 4 - 0,33.33%
Zacian,5,5 - 0 - 0,100.00%
Darkrai,5,2 - 3 - 0,40.00%
Arceus Regidrago,4,3 - 1 - 0,75.00%
Galarian Weezing,4,2 - 1 - 1,50.00%
Zeraora,3,2 - 1 - 0,66.67%
Durant,3,2 - 1 - 0,66.67%
Duraludon,3,1 - 2 - 0,33.33%
Lunatone Solrock,3,1 - 2 - 0,33.33%
Inteleon Box,3,0 - 3 - 0,0.00%
Samurott Weezing,3,0 - 3 - 0,0.00%
Hisuian Arcanine,2,2 - 0 - 0,100.00%
Arceus Rayquaza,2,2 - 0 - 0,100.00%
Rapid Strike Urshifu,2,2 - 0 - 0,100.00%
Calyrex Inteleon,2,2 - 0 - 0,100.00%
Articuno Inteleon,2,1 - 1 - 0,50.00%
Alolan Vulpix,2,1 - 1 - 0,50.00%
Snorlax Stall,2,1 - 1 - 0,50.00%
Shadow Rider Calyrex,2,1 - 1 - 0,50.00%
Crobat Weezing,2,0 - 2 - 0,0.00%
Dialga,2,0 - 2 - 0,0.00%
Arceus Mewtwo,1,1 - 0 - 0,100.00%
Palkia,1,1 - 0 - 0,100.00%
Charizard,1,1 - 0 - 0,100.00%
Sableye,1,1 - 0 - 0,100.00%
Frosmoth Inteleon Box,1,1 - 0 - 0,100.00%
Pikachu,1,1 - 0 - 0,100.00%
Arceus Giratina,1,1 - 0 - 0,100.00%
Mewtwo Gengar,1,1 - 0 - 0,100.00%
Miltank,1,1 - 0 - 0,100.00%
Dragapult Inteleon,1,1 - 0 - 0,100.00%
Calyrex Palkia,1,1 - 0 - 0,100.00%
Dialga LZ,1,0 - 1 - 0,0.00%
Miltank Yveltal,1,0 - 1 - 0,0.00%
Morpeko,1,0 - 1 - 0,0.00%
Mimikyu,1,0 - 1 - 0,0.00%
Entei,1,0 - 1 - 0,0.00%
Snorlax Cherrim,1,0 - 1 - 0,0.00%
Umbreon Urshifu,1,0 - 1 - 0,0.00%
Jolteon,1,0 - 1 - 0,0.00%
Jolteon Inteleon,1,0 - 1 - 0,0.00%
Giratina,1,0 - 1 - 0,0.00%
