Opponent,Matches,Score,Win%
Lugia Archeops,14,5 - 9 - 0,35.71%
Mew Genesect,7,5 - 2 - 0,71.43%
Rayquaza LZ Box,5,2 - 3 - 0,40.00%
Regis,5,1 - 4 - 0,20.00%
Goodra LZ Box,5,0 - 5 - 0,0.00%
Lost Zone Box,4,2 - 2 - 0,50.00%
Kyurem Palkia,2,1 - 1 - 0,50.00%
Palkia Inteleon,2,0 - 2 - 0,0.00%
Other,2,0 - 2 - 0,0.00%
Duraludon,2,0 - 2 - 0,0.00%
Arceus Flying Pikachu,2,0 - 2 - 0,0.00%
Arceus Inteleon,1,1 - 0 - 0,100.00%
Galarian Weezing,1,1 - 0 - 0,100.00%
Darkrai,1,1 - 0 - 0,100.00%
Shadow Rider Calyrex,1,1 - 0 - 0,100.00%
Durant,1,1 - 0 - 0,100.00%
Arceus Goodra,1,0 - 1 - 0,0.00%
Yveltal Control,1,0 - 1 - 0,0.00%
Frosmoth Inteleon Box,1,0 - 1 - 0,0.00%
Vikavolt Regieleki,1,0 - 1 - 0,0.00%
Arceus Duraludon,1,0 - 1 - 0,0.00%
