Opponent,Matches,Score,Win%
Lugia Archeops,11,4 - 7 - 0,36.36%
Giratina LZ Box,5,1 - 4 - 0,20.00%
Regis,4,1 - 3 - 0,25.00%
Lost Zone Box,4,1 - 3 - 0,25.00%
Mew Genesect,4,1 - 3 - 0,25.00%
Galarian Weezing,3,2 - 0 - 1,66.67%
Other,3,2 - 1 - 0,66.67%
Rayquaza LZ Box,3,1 - 2 - 0,33.33%
Goodra LZ Box,2,2 - 0 - 0,100.00%
Arceus Duraludon,1,1 - 0 - 0,100.00%
Gengar,1,1 - 0 - 0,100.00%
Zacian,1,1 - 0 - 0,100.00%
Shadow Rider Calyrex,1,1 - 0 - 0,100.00%
Vikavolt,1,1 - 0 - 0,100.00%
Calyrex Inteleon,1,1 - 0 - 0,100.00%
Palkia Inteleon,1,1 - 0 - 0,100.00%
Mewtwo Control,1,0 - 1 - 0,0.00%
Eternatus,1,0 - 1 - 0,0.00%
Arceus Flying Pikachu,1,0 - 1 - 0,0.00%
