Opponent,Matches,Score,Win%
Lugia Archeops,7,3 - 4 - 0,42.86%
Mew Genesect,5,1 - 4 - 0,20.00%
Lost Zone Box,4,3 - 1 - 0,75.00%
Goodra LZ Box,2,2 - 0 - 0,100.00%
Other,2,1 - 1 - 0,50.00%
Arceus Duraludon,2,0 - 2 - 0,0.00%
Rayquaza LZ Box,2,0 - 2 - 0,0.00%
Eternatus,1,1 - 0 - 0,100.00%
Hisuian Samurott,1,1 - 0 - 0,100.00%
Arceus Tapu Koko,1,1 - 0 - 0,100.00%
Arceus Inteleon,1,0 - 1 - 0,0.00%
Duraludon,1,0 - 1 - 0,0.00%
Rotom,1,0 - 1 - 0,0.00%
Arceus Flying Pikachu,1,0 - 1 - 0,0.00%
Yveltal Control,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Vikavolt Regieleki,1,0 - 1 - 0,0.00%
