Opponent,Matches,Score,Win%
Lugia Archeops,9,4 - 4 - 1,44.44%
Mew Genesect,8,6 - 2 - 0,75.00%
Lost Zone Box,6,2 - 2 - 2,33.33%
Goodra LZ Box,6,0 - 6 - 0,0.00%
Yveltal Control,4,2 - 0 - 2,50.00%
Other,3,3 - 0 - 0,100.00%
Mewtwo Control,3,0 - 2 - 1,0.00%
Stonjourner,3,0 - 3 - 0,0.00%
Giratina LZ Box,2,1 - 1 - 0,50.00%
Arceus Duraludon,2,0 - 2 - 0,0.00%
Rayquaza LZ Box,2,0 - 2 - 0,0.00%
Weezing Aerodactyl,1,1 - 0 - 0,100.00%
Crobat Weezing,1,1 - 0 - 0,100.00%
Eternatus,1,1 - 0 - 0,100.00%
Galarian Weezing,1,1 - 0 - 0,100.00%
Durant,1,1 - 0 - 0,100.00%
Kyurem Palkia,1,1 - 0 - 0,100.00%
Wailord,1,1 - 0 - 0,100.00%
Regidrago,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
Palkia Inteleon,1,0 - 1 - 0,0.00%
Palkia Vikavolt,1,0 - 1 - 0,0.00%
Arceus Inteleon,1,0 - 1 - 0,0.00%
Vikavolt Regieleki,1,0 - 1 - 0,0.00%
