Opponent,Matches,Score,Win%
Lugia Archeops,32,11 - 21 - 0,34.38%
Mew Genesect,29,11 - 16 - 2,37.93%
Lost Zone Box,19,7 - 11 - 1,36.84%
Regis,13,4 - 9 - 0,30.77%
Rayquaza LZ Box,11,3 - 8 - 0,27.27%
Other,9,4 - 5 - 0,44.44%
Kyurem Palkia,9,1 - 8 - 0,11.11%
Giratina LZ Box,8,2 - 6 - 0,25.00%
Arceus Duraludon,7,1 - 6 - 0,14.29%
Palkia Inteleon,6,2 - 4 - 0,33.33%
Hisuian Zoroark,6,2 - 4 - 0,33.33%
Goodra LZ Box,6,0 - 5 - 1,0.00%
Blissey,5,4 - 1 - 0,80.00%
Eternatus,5,1 - 4 - 0,20.00%
Vikavolt Regieleki,4,3 - 1 - 0,75.00%
Arceus Goodra,2,1 - 1 - 0,50.00%
Decidueye Inteleon,2,1 - 1 - 0,50.00%
Galarian Weezing,2,1 - 1 - 0,50.00%
Palkia,2,0 - 1 - 1,0.00%
Calyrex Inteleon,2,0 - 2 - 0,0.00%
Mewtwo Control,2,0 - 2 - 0,0.00%
Arceus Flying Pikachu,1,1 - 0 - 0,100.00%
Crobat Weezing,1,1 - 0 - 0,100.00%
Durant,1,1 - 0 - 0,100.00%
Rotom,1,1 - 0 - 0,100.00%
Mewtwo Gengar,1,1 - 0 - 0,100.00%
Yveltal Control,1,1 - 0 - 0,100.00%
Jolteon,1,1 - 0 - 0,100.00%
Vikavolt,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,0 - 1 - 0,0.00%
Rapid Strike Malamar,1,0 - 1 - 0,0.00%
Duraludon,1,0 - 1 - 0,0.00%
Arceus,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Arceus Giratina,1,0 - 1 - 0,0.00%
