Opponent,Matches,Score,Win%
Lugia Archeops,399,176 - 216 - 7,44.11%
Mew Genesect,274,134 - 136 - 4,48.91%
Lost Zone Box,218,131 - 83 - 4,60.09%
Regis,135,51 - 83 - 1,37.78%
Arceus Duraludon,112,31 - 77 - 4,27.68%
Rayquaza LZ Box,75,55 - 17 - 3,73.33%
Goodra LZ Box,75,34 - 39 - 2,45.33%
Giratina LZ Box,63,41 - 21 - 1,65.08%
Palkia Inteleon,54,41 - 13 - 0,75.93%
Eternatus,47,21 - 25 - 1,44.68%
Kyurem Palkia,40,17 - 23 - 0,42.50%
Vikavolt Regieleki,36,17 - 17 - 2,47.22%
Other,35,18 - 16 - 1,51.43%
Vikavolt,29,15 - 13 - 1,51.72%
Arceus Flying Pikachu,29,15 - 13 - 1,51.72%
Arceus Goodra,26,9 - 16 - 1,34.62%
Zoroark Box,24,17 - 7 - 0,70.83%
Arceus,23,11 - 12 - 0,47.83%
Mewtwo Control,22,7 - 14 - 1,31.82%
Hisuian Zoroark,21,10 - 10 - 1,47.62%
Arceus Tapu Koko,18,7 - 9 - 2,38.89%
Yveltal Control,15,4 - 9 - 2,26.67%
Arceus Inteleon,13,7 - 6 - 0,53.85%
Palkia Vikavolt,12,7 - 5 - 0,58.33%
Lunatone Solrock,12,6 - 5 - 1,50.00%
Arceus Regidrago,11,4 - 7 - 0,36.36%
Regidrago,11,4 - 7 - 0,36.36%
Duraludon,9,5 - 4 - 0,55.56%
Blissey,9,1 - 8 - 0,11.11%
Crobat Weezing,8,6 - 2 - 0,75.00%
Durant,8,6 - 2 - 0,75.00%
Rapid Strike Urshifu,8,3 - 5 - 0,37.50%
Shadow Rider Calyrex,7,3 - 3 - 1,42.86%
Galarian Weezing,6,5 - 1 - 0,83.33%
Weezing Aerodactyl,6,3 - 3 - 0,50.00%
Darkrai,6,1 - 5 - 0,16.67%
Inteleon Box,5,5 - 0 - 0,100.00%
Arceus Giratina,5,1 - 4 - 0,20.00%
Arceus Mewtwo,5,0 - 5 - 0,0.00%
Zacian,5,0 - 5 - 0,0.00%
Frosmoth Inteleon Box,4,3 - 1 - 0,75.00%
Rotom,4,2 - 2 - 0,50.00%
Urshifu Inteleon,4,1 - 3 - 0,25.00%
Dialga,3,2 - 1 - 0,66.67%
Samurott Weezing,3,2 - 1 - 0,66.67%
Alolan Vulpix,3,1 - 2 - 0,33.33%
Charizard,2,2 - 0 - 0,100.00%
Clefairy,2,2 - 0 - 0,100.00%
Calyrex Palkia,2,2 - 0 - 0,100.00%
Mewtwo Gengar,2,2 - 0 - 0,100.00%
Malamar (VMAX),2,2 - 0 - 0,100.00%
Flaaffy,2,2 - 0 - 0,100.00%
Dialga LZ,2,1 - 1 - 0,50.00%
Snorlax Stall,2,1 - 1 - 0,50.00%
Calyrex Inteleon,2,1 - 1 - 0,50.00%
Lucario,2,1 - 1 - 0,50.00%
Miltank Yveltal,2,0 - 1 - 1,0.00%
Hisuian Arcanine,2,0 - 2 - 0,0.00%
Hisuian Samurott,2,0 - 2 - 0,0.00%
Jolteon,2,0 - 2 - 0,0.00%
Palkia,2,0 - 2 - 0,0.00%
Kyurem,1,1 - 0 - 0,100.00%
Serperior,1,1 - 0 - 0,100.00%
Inteleon Inteleon,1,1 - 0 - 0,100.00%
Amazing Reshiram,1,1 - 0 - 0,100.00%
Omastar Archeops,1,1 - 0 - 0,100.00%
Articuno Inteleon,1,1 - 0 - 0,100.00%
Samurott Inteleon,1,1 - 0 - 0,100.00%
Boltund,1,1 - 0 - 0,100.00%
Frosmoth Box,1,1 - 0 - 0,100.00%
Charizard,1,1 - 0 - 0,100.00%
Gengar,1,1 - 0 - 0,100.00%
Togekiss,1,1 - 0 - 0,100.00%
Morpeko Diancie,1,1 - 0 - 0,100.00%
Snorlax Cherrim,1,1 - 0 - 0,100.00%
Suicune Ludicolo,1,1 - 0 - 0,100.00%
Inteleon,1,1 - 0 - 0,100.00%
Boltund Flaaffy,1,1 - 0 - 0,100.00%
Zeraora,1,1 - 0 - 0,100.00%
Zeraora Inteleon,1,1 - 0 - 0,100.00%
Miltank,1,0 - 1 - 0,0.00%
Decidueye Inteleon,1,0 - 1 - 0,0.00%
Arceus Charizard,1,0 - 1 - 0,0.00%
Corviknight,1,0 - 1 - 0,0.00%
Amazing Raikou,1,0 - 1 - 0,0.00%
Blaziken Zeraora,1,0 - 1 - 0,0.00%
Hisuian Goodra,1,0 - 0 - 1,0.00%
Entei,1,0 - 1 - 0,0.00%
Darkrai Weezing,1,0 - 0 - 1,0.00%
Inteleon Urshifu,1,0 - 1 - 0,0.00%
