Opponent,Matches,Score,Win%
Lugia Archeops,454,232 - 212 - 10,51.10%
Mew Genesect,273,165 - 105 - 3,60.44%
Lost Zone Box,173,90 - 79 - 4,52.02%
Arceus Duraludon,146,39 - 105 - 2,26.71%
Regis,114,36 - 76 - 2,31.58%
Goodra LZ Box,111,46 - 62 - 3,41.44%
Rayquaza LZ Box,94,56 - 38 - 0,59.57%
Palkia Inteleon,62,44 - 16 - 2,70.97%
Eternatus,62,23 - 38 - 1,37.10%
Vikavolt,48,24 - 24 - 0,50.00%
Other,43,25 - 17 - 1,58.14%
Giratina LZ Box,40,19 - 20 - 1,47.50%
Arceus Flying Pikachu,37,14 - 21 - 2,37.84%
Arceus,36,9 - 27 - 0,25.00%
Vikavolt Regieleki,29,13 - 15 - 1,44.83%
Yveltal Control,27,4 - 22 - 1,14.81%
Arceus Tapu Koko,24,9 - 14 - 1,37.50%
Shadow Rider Calyrex,22,11 - 11 - 0,50.00%
Zoroark Box,22,8 - 14 - 0,36.36%
Mewtwo Control,16,8 - 8 - 0,50.00%
Hisuian Zoroark,16,3 - 13 - 0,18.75%
Kyurem Palkia,13,4 - 9 - 0,30.77%
Arceus Goodra,13,3 - 9 - 1,23.08%
Blissey,13,3 - 9 - 1,23.08%
Palkia Vikavolt,12,7 - 5 - 0,58.33%
Rotom,10,5 - 5 - 0,50.00%
Arceus Regidrago,10,3 - 7 - 0,30.00%
Galarian Weezing,9,7 - 2 - 0,77.78%
Crobat Weezing,7,2 - 5 - 0,28.57%
Lunatone Solrock,7,1 - 6 - 0,14.29%
Durant,6,6 - 0 - 0,100.00%
Regidrago,6,4 - 2 - 0,66.67%
Dialga,6,4 - 2 - 0,66.67%
Arceus Inteleon,6,2 - 4 - 0,33.33%
Zacian,6,1 - 5 - 0,16.67%
Palkia,5,4 - 1 - 0,80.00%
Dragapult,5,3 - 2 - 0,60.00%
Weezing Aerodactyl,4,4 - 0 - 0,100.00%
Snorlax Stall,4,3 - 1 - 0,75.00%
Duraludon,4,3 - 1 - 0,75.00%
Arceus Giratina,4,1 - 3 - 0,25.00%
Rapid Strike Urshifu,4,1 - 3 - 0,25.00%
Miltank,4,0 - 4 - 0,0.00%
Frosmoth Inteleon Box,3,3 - 0 - 0,100.00%
Jolteon,3,3 - 0 - 0,100.00%
Arceus Malamar,3,1 - 2 - 0,33.33%
Inteleon Box,2,2 - 0 - 0,100.00%
Inteleon Inteleon,2,2 - 0 - 0,100.00%
Hisuian Arcanine,2,1 - 1 - 0,50.00%
Flaaffy,2,1 - 1 - 0,50.00%
Mewtwo Gengar,2,1 - 1 - 0,50.00%
Arcanine Zoroark,2,1 - 1 - 0,50.00%
Rapid Strike Malamar,2,1 - 1 - 0,50.00%
Amazing Raikou,2,1 - 1 - 0,50.00%
Calyrex Inteleon,2,0 - 2 - 0,0.00%
Inteleon Urshifu,2,0 - 2 - 0,0.00%
Weezing Inteleon,2,0 - 2 - 0,0.00%
Blaziken Zeraora,2,0 - 2 - 0,0.00%
Dragapult Inteleon,2,0 - 2 - 0,0.00%
Dracozolt,1,1 - 0 - 0,100.00%
Clefairy Wyrdeer,1,1 - 0 - 0,100.00%
Alolan Vulpix,1,1 - 0 - 0,100.00%
Boltund,1,1 - 0 - 0,100.00%
Charizard,1,1 - 0 - 0,100.00%
Inteleon,1,1 - 0 - 0,100.00%
Ice Rider Calyrex,1,1 - 0 - 0,100.00%
Mad Party,1,1 - 0 - 0,100.00%
Jolteon Inteleon,1,0 - 1 - 0,0.00%
Samurott Inteleon,1,0 - 1 - 0,0.00%
Frosmoth Box,1,0 - 1 - 0,0.00%
Omastar Archeops,1,0 - 1 - 0,0.00%
Entei,1,0 - 1 - 0,0.00%
Dialga LZ,1,0 - 1 - 0,0.00%
Pachirisu Honchkrow,1,0 - 1 - 0,0.00%
Leafeon,1,0 - 1 - 0,0.00%
Umbreon Urshifu,1,0 - 1 - 0,0.00%
Hisuian Samurott,1,0 - 1 - 0,0.00%
Hisuian Goodra,1,0 - 1 - 0,0.00%
Gardevoir,1,0 - 1 - 0,0.00%
Miltank Yveltal,1,0 - 1 - 0,0.00%
Urshifu Inteleon,1,0 - 1 - 0,0.00%
