Opponent,Matches,Score,Win%
Lugia Archeops,64,45 - 19 - 0,70.31%
Lost Zone Box,46,26 - 18 - 2,56.52%
Mew Genesect,35,15 - 19 - 1,42.86%
Giratina LZ Box,17,7 - 10 - 0,41.18%
Arceus Duraludon,17,4 - 13 - 0,23.53%
Regis,15,11 - 3 - 1,73.33%
Palkia Inteleon,10,5 - 5 - 0,50.00%
Mewtwo Control,7,3 - 2 - 2,42.86%
Yveltal Control,7,1 - 5 - 1,14.29%
Other,7,1 - 5 - 1,14.29%
Vikavolt Regieleki,6,3 - 3 - 0,50.00%
Kyurem Palkia,6,1 - 5 - 0,16.67%
Arceus Flying Pikachu,6,1 - 5 - 0,16.67%
Shadow Rider Calyrex,6,1 - 5 - 0,16.67%
Rayquaza LZ Box,5,3 - 2 - 0,60.00%
Arceus Goodra,5,2 - 3 - 0,40.00%
Zoroark Box,4,3 - 1 - 0,75.00%
Goodra LZ Box,4,2 - 2 - 0,50.00%
Arceus Inteleon,4,2 - 2 - 0,50.00%
Crobat Weezing,4,1 - 2 - 1,25.00%
Lunatone Solrock,4,0 - 4 - 0,0.00%
Vikavolt,4,0 - 4 - 0,0.00%
Arceus Regidrago,3,2 - 1 - 0,66.67%
Arceus,3,1 - 2 - 0,33.33%
Durant,3,1 - 2 - 0,33.33%
Blissey,3,0 - 3 - 0,0.00%
Galarian Weezing,2,2 - 0 - 0,100.00%
Frosmoth Inteleon Box,2,1 - 1 - 0,50.00%
Regidrago,2,1 - 1 - 0,50.00%
Mewtwo Gengar,2,1 - 0 - 1,50.00%
Hisuian Zoroark,2,0 - 2 - 0,0.00%
Arceus Rayquaza,2,0 - 2 - 0,0.00%
Arceus Mewtwo,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,1 - 0 - 0,100.00%
Dark Inteleon,1,1 - 0 - 0,100.00%
Clefairy,1,1 - 0 - 0,100.00%
Palkia Vikavolt,1,1 - 0 - 0,100.00%
Clefairy Wyrdeer,1,1 - 0 - 0,100.00%
Castform,1,1 - 0 - 0,100.00%
Victini,1,1 - 0 - 0,100.00%
Kyurem,1,1 - 0 - 0,100.00%
Miltank Yveltal,1,0 - 1 - 0,0.00%
Togekiss,1,0 - 1 - 0,0.00%
Samurott Weezing,1,0 - 1 - 0,0.00%
Flaaffy,1,0 - 1 - 0,0.00%
Snorlax Stall,1,0 - 1 - 0,0.00%
Articuno Inteleon,1,0 - 1 - 0,0.00%
Inteleon Box,1,0 - 1 - 0,0.00%
Galarian Obstagoon,1,0 - 1 - 0,0.00%
Dragapult,1,0 - 1 - 0,0.00%
Eternatus,1,0 - 1 - 0,0.00%
Arceus Tapu Koko,1,0 - 1 - 0,0.00%
