Opponent,Matches,Score,Win%
Lugia Archeops,18,12 - 6 - 0,66.67%
Mew Genesect,7,4 - 3 - 0,57.14%
Giratina LZ Box,7,1 - 6 - 0,14.29%
Regis,5,5 - 0 - 0,100.00%
Palkia Inteleon,5,1 - 4 - 0,20.00%
Goodra LZ Box,3,1 - 2 - 0,33.33%
Lost Zone Box,3,1 - 2 - 0,33.33%
Arceus Duraludon,3,1 - 2 - 0,33.33%
Yveltal Control,2,2 - 0 - 0,100.00%
Vikavolt,2,2 - 0 - 0,100.00%
Rotom,2,1 - 1 - 0,50.00%
Crobat Weezing,2,0 - 2 - 0,0.00%
Zoroark Box,1,1 - 0 - 0,100.00%
Rapid Strike Malamar,1,1 - 0 - 0,100.00%
Kyurem Palkia,1,1 - 0 - 0,100.00%
Palkia Vikavolt,1,1 - 0 - 0,100.00%
Arceus Flying Pikachu,1,1 - 0 - 0,100.00%
Kyurem,1,0 - 1 - 0,0.00%
Hisuian Zoroark,1,0 - 1 - 0,0.00%
Arceus Inteleon,1,0 - 1 - 0,0.00%
Rayquaza LZ Box,1,0 - 1 - 0,0.00%
Rapid Strike Urshifu,1,0 - 1 - 0,0.00%
