Opponent,Matches,Score,Win%
Lugia Archeops,295,165 - 105 - 25,55.93%
Mew Genesect,156,86 - 58 - 12,55.13%
Lost Zone Box,151,65 - 77 - 9,43.05%
Regis,84,44 - 29 - 11,52.38%
Arceus Duraludon,70,8 - 56 - 6,11.43%
Rayquaza LZ Box,51,28 - 23 - 0,54.90%
Goodra LZ Box,51,14 - 32 - 5,27.45%
Yveltal Control,38,10 - 10 - 18,26.32%
Palkia Inteleon,36,14 - 19 - 3,38.89%
Vikavolt,27,22 - 4 - 1,81.48%
Giratina LZ Box,26,10 - 15 - 1,38.46%
Other,25,14 - 6 - 5,56.00%
Eternatus,16,5 - 11 - 0,31.25%
Vikavolt Regieleki,15,9 - 4 - 2,60.00%
Zoroark Box,15,8 - 6 - 1,53.33%
Arceus Flying Pikachu,15,5 - 8 - 2,33.33%
Shadow Rider Calyrex,13,5 - 6 - 2,38.46%
Arceus Regidrago,12,3 - 7 - 2,25.00%
Arceus Tapu Koko,11,7 - 2 - 2,63.64%
Kyurem Palkia,11,5 - 5 - 1,45.45%
Mewtwo Control,11,1 - 6 - 4,9.09%
Arceus Goodra,9,6 - 2 - 1,66.67%
Zacian,9,0 - 8 - 1,0.00%
Duraludon,8,5 - 3 - 0,62.50%
Weezing Aerodactyl,7,5 - 1 - 1,71.43%
Galarian Weezing,7,4 - 1 - 2,57.14%
Regidrago,7,3 - 4 - 0,42.86%
Arceus,7,2 - 5 - 0,28.57%
Crobat Weezing,7,1 - 6 - 0,14.29%
Palkia,6,3 - 2 - 1,50.00%
Blissey,5,3 - 0 - 2,60.00%
Palkia Vikavolt,5,3 - 2 - 0,60.00%
Hisuian Zoroark,4,3 - 0 - 1,75.00%
Lunatone Solrock,4,2 - 2 - 0,50.00%
Rotom,4,2 - 2 - 0,50.00%
Inteleon Box,4,1 - 3 - 0,25.00%
Durant,4,1 - 3 - 0,25.00%
Togekiss,4,0 - 2 - 2,0.00%
Arceus Giratina,3,2 - 1 - 0,66.67%
Frosmoth Inteleon Box,3,0 - 2 - 1,0.00%
Calyrex Inteleon,3,0 - 1 - 2,0.00%
Dialga LZ,2,2 - 0 - 0,100.00%
Kyurem,2,1 - 1 - 0,50.00%
Arceus Inteleon,2,1 - 1 - 0,50.00%
Giratina,2,1 - 1 - 0,50.00%
Omastar Archeops,2,0 - 2 - 0,0.00%
Darkrai Weezing,2,0 - 1 - 1,0.00%
Weezing Inteleon,2,0 - 2 - 0,0.00%
Victini,1,1 - 0 - 0,100.00%
Dragapult Inteleon,1,1 - 0 - 0,100.00%
Hisuian Samurott,1,1 - 0 - 0,100.00%
Snorlax Cherrim,1,1 - 0 - 0,100.00%
Suicune Ludicolo,1,1 - 0 - 0,100.00%
Dragonite,1,1 - 0 - 0,100.00%
Dracozolt,1,1 - 0 - 0,100.00%
Boltund,1,1 - 0 - 0,100.00%
Jolteon,1,1 - 0 - 0,100.00%
Alolan Vulpix,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,0 - 1 - 0,0.00%
Cramorant,1,0 - 1 - 0,0.00%
Rapid Strike Urshifu,1,0 - 1 - 0,0.00%
Miltank,1,0 - 0 - 1,0.00%
Snorlax Stall,1,0 - 1 - 0,0.00%
Flaaffy,1,0 - 1 - 0,0.00%
Arceus Mewtwo,1,0 - 1 - 0,0.00%
Frosmoth Box,1,0 - 1 - 0,0.00%
Arcanine Zoroark,1,0 - 1 - 0,0.00%
Ice Rider Calyrex,1,0 - 1 - 0,0.00%
Mewtwo Gengar,1,0 - 0 - 1,0.00%
Torterra,1,0 - 1 - 0,0.00%
Malamar (VMAX),1,0 - 1 - 0,0.00%
Urshifu Inteleon,1,0 - 1 - 0,0.00%
Serperior,1,0 - 1 - 0,0.00%
Articuno Inteleon,1,0 - 1 - 0,0.00%
Orbeetle,1,0 - 1 - 0,0.00%
Arceus Ice Rider,1,0 - 0 - 1,0.00%
