Opponent,Matches,Score,Win%
Lugia Archeops,83,38 - 43 - 2,45.78%
Mew Genesect,53,23 - 30 - 0,43.40%
Lost Zone Box,37,13 - 24 - 0,35.14%
Goodra LZ Box,22,8 - 13 - 1,36.36%
Regis,18,10 - 6 - 2,55.56%
Arceus Duraludon,18,8 - 9 - 1,44.44%
Rayquaza LZ Box,12,4 - 8 - 0,33.33%
Giratina LZ Box,11,8 - 3 - 0,72.73%
Other,11,7 - 4 - 0,63.64%
Yveltal Control,9,8 - 0 - 1,88.89%
Palkia Inteleon,9,3 - 6 - 0,33.33%
Eternatus,7,4 - 3 - 0,57.14%
Vikavolt,6,5 - 1 - 0,83.33%
Vikavolt Regieleki,5,5 - 0 - 0,100.00%
Arceus Tapu Koko,5,4 - 1 - 0,80.00%
Arceus Flying Pikachu,5,3 - 2 - 0,60.00%
Lunatone Solrock,5,2 - 3 - 0,40.00%
Shadow Rider Calyrex,5,0 - 5 - 0,0.00%
Rotom,4,3 - 1 - 0,75.00%
Zoroark Box,4,1 - 3 - 0,25.00%
Arceus,4,1 - 2 - 1,25.00%
Arceus Inteleon,3,3 - 0 - 0,100.00%
Palkia Vikavolt,3,2 - 1 - 0,66.67%
Regidrago,3,1 - 2 - 0,33.33%
Calyrex Inteleon,2,1 - 1 - 0,50.00%
Zacian,2,1 - 1 - 0,50.00%
Durant,2,1 - 1 - 0,50.00%
Blissey,2,1 - 1 - 0,50.00%
Kyurem Palkia,2,0 - 2 - 0,0.00%
Crobat Weezing,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,1 - 0 - 0,100.00%
Dialga LZ,1,1 - 0 - 0,100.00%
Darkrai,1,1 - 0 - 0,100.00%
Inteleon Inteleon,1,1 - 0 - 0,100.00%
Arceus Regidrago,1,1 - 0 - 0,100.00%
Miltank,1,1 - 0 - 0,100.00%
Mewtwo Control,1,1 - 0 - 0,100.00%
Samurott Weezing,1,0 - 1 - 0,0.00%
Corviknight,1,0 - 1 - 0,0.00%
Frosmoth Inteleon Box,1,0 - 1 - 0,0.00%
Hisuian Zoroark,1,0 - 1 - 0,0.00%
Dracozolt,1,0 - 1 - 0,0.00%
Umbreon Urshifu,1,0 - 1 - 0,0.00%
Hisuian Goodra,1,0 - 1 - 0,0.00%
Kyurem,1,0 - 1 - 0,0.00%
Arceus Goodra,1,0 - 1 - 0,0.00%
Dragapult Inteleon,1,0 - 1 - 0,0.00%
Palkia,1,0 - 1 - 0,0.00%
Hisuian Arcanine,1,0 - 1 - 0,0.00%
