Opponent,Matches,Score,Win%
Lugia Archeops,9,3 - 6 - 0,33.33%
Mew Genesect,8,3 - 5 - 0,37.50%
Giratina LZ Box,4,3 - 1 - 0,75.00%
Lost Zone Box,4,1 - 3 - 0,25.00%
Regis,4,1 - 3 - 0,25.00%
Palkia Inteleon,3,2 - 1 - 0,66.67%
Arceus Duraludon,3,1 - 1 - 1,33.33%
Shadow Rider Calyrex,3,1 - 2 - 0,33.33%
Goodra LZ Box,3,1 - 2 - 0,33.33%
Hisuian Zoroark,2,1 - 1 - 0,50.00%
Arceus Flying Pikachu,1,1 - 0 - 0,100.00%
Regidrago,1,1 - 0 - 0,100.00%
Duraludon,1,1 - 0 - 0,100.00%
Other,1,1 - 0 - 0,100.00%
Kyurem Palkia,1,1 - 0 - 0,100.00%
Arceus Inteleon,1,1 - 0 - 0,100.00%
Dialga LZ,1,0 - 1 - 0,0.00%
Rayquaza LZ Box,1,0 - 1 - 0,0.00%
Lunatone Solrock,1,0 - 1 - 0,0.00%
Vikavolt Regieleki,1,0 - 1 - 0,0.00%
