Opponent,Matches,Score,Win%
Lugia Archeops,311,166 - 141 - 4,53.38%
Mew Genesect,208,110 - 89 - 9,52.88%
Lost Zone Box,146,34 - 110 - 2,23.29%
Regis,107,45 - 56 - 6,42.06%
Arceus Duraludon,107,41 - 64 - 2,38.32%
Giratina LZ Box,78,22 - 56 - 0,28.21%
Goodra LZ Box,43,7 - 35 - 1,16.28%
Other,40,22 - 14 - 4,55.00%
Rayquaza LZ Box,39,10 - 28 - 1,25.64%
Eternatus,37,7 - 30 - 0,18.92%
Palkia Inteleon,31,12 - 19 - 0,38.71%
Zoroark Box,30,12 - 12 - 6,40.00%
Arceus Flying Pikachu,28,9 - 18 - 1,32.14%
Kyurem Palkia,27,13 - 14 - 0,48.15%
Hisuian Zoroark,25,16 - 9 - 0,64.00%
Vikavolt Regieleki,24,7 - 17 - 0,29.17%
Vikavolt,22,14 - 8 - 0,63.64%
Regidrago,18,10 - 7 - 1,55.56%
Arceus Goodra,18,6 - 12 - 0,33.33%
Arceus,15,10 - 5 - 0,66.67%
Yveltal Control,15,6 - 8 - 1,40.00%
Mewtwo Control,15,4 - 11 - 0,26.67%
Blissey,14,9 - 5 - 0,64.29%
Shadow Rider Calyrex,14,8 - 6 - 0,57.14%
Lunatone Solrock,12,9 - 3 - 0,75.00%
Galarian Weezing,11,3 - 8 - 0,27.27%
Arceus Inteleon,9,2 - 7 - 0,22.22%
Durant,9,1 - 8 - 0,11.11%
Arceus Tapu Koko,8,4 - 4 - 0,50.00%
Arceus Regidrago,8,1 - 7 - 0,12.50%
Rotom,6,5 - 1 - 0,83.33%
Palkia Vikavolt,5,4 - 1 - 0,80.00%
Crobat Weezing,5,2 - 3 - 0,40.00%
Miltank Yveltal,5,1 - 3 - 1,20.00%
Zacian,4,3 - 1 - 0,75.00%
Weezing Aerodactyl,4,1 - 3 - 0,25.00%
Flaaffy,4,1 - 3 - 0,25.00%
Arceus Giratina,3,2 - 1 - 0,66.67%
Calyrex Inteleon,3,2 - 1 - 0,66.67%
Articuno Inteleon,3,2 - 1 - 0,66.67%
Duraludon,3,2 - 0 - 1,66.67%
Gengar,3,2 - 1 - 0,66.67%
Dialga,3,1 - 2 - 0,33.33%
Frosmoth Inteleon Box,3,1 - 1 - 1,33.33%
Inteleon Box,3,0 - 2 - 1,0.00%
Mewtwo Gengar,3,0 - 2 - 1,0.00%
Darkrai,2,2 - 0 - 0,100.00%
Rapid Strike Urshifu,2,1 - 1 - 0,50.00%
Arceus Lycanroc,2,1 - 1 - 0,50.00%
Kyurem,2,1 - 1 - 0,50.00%
Leafeon Inteleon,2,1 - 1 - 0,50.00%
Frosmoth Box,2,1 - 1 - 0,50.00%
Charizard,2,1 - 1 - 0,50.00%
Darkrai Weezing,2,1 - 1 - 0,50.00%
Boltund Flaaffy,2,1 - 1 - 0,50.00%
Snorlax Stall,2,0 - 2 - 0,0.00%
Samurott Weezing,2,0 - 2 - 0,0.00%
Arceus Mewtwo,2,0 - 2 - 0,0.00%
Dialga LZ,2,0 - 2 - 0,0.00%
Samurott Inteleon,2,0 - 2 - 0,0.00%
Hisuian Goodra,2,0 - 2 - 0,0.00%
Pachirisu Honchkrow,1,1 - 0 - 0,100.00%
Entei,1,1 - 0 - 0,100.00%
Sableye,1,1 - 0 - 0,100.00%
Leafeon,1,1 - 0 - 0,100.00%
Sylveon,1,1 - 0 - 0,100.00%
Single Strike Urshifu,1,1 - 0 - 0,100.00%
Weezing Inteleon,1,0 - 1 - 0,0.00%
Alolan Vulpix,1,0 - 1 - 0,0.00%
Arcanine Zoroark,1,0 - 1 - 0,0.00%
Clefairy,1,0 - 1 - 0,0.00%
Omastar Archeops,1,0 - 1 - 0,0.00%
Hisuian Arcanine,1,0 - 1 - 0,0.00%
Jolteon,1,0 - 1 - 0,0.00%
